fid,ISO3_CODE,COUNTRY_NA,AREA,Classified_Commodity
22688,CAN,Canada,0.072466112,Coal
22689,CAN,Canada,0.051056054,Uranium
22691,CAN,Canada,0.008342111,Uranium
22694,CAN,Canada,0.110768775,Coal
22695,CAN,Canada,0.222341152,Nickel and Cobalt
22696,CAN,Canada,0.075943996,Coal
22697,CAN,Canada,0.780762496,Gold
22698,CAN,Canada,1.026034904,Lead
22699,CAN,Canada,0.075680446,Other non-metals
22700,CAN,Canada,1.776234262,Iron
22701,CAN,Canada,0.115478307,Gold
22703,CAN,Canada,0.017775334,Iron
22704,CAN,Canada,0.026596328,Other non-metals
22705,CAN,Canada,0.037360239,Iron
22706,CAN,Canada,0.589431149,Lead
22707,AUS,Australia,0.059193597,Lithium
22708,AUS,Australia,0.045911873,Lithium
22709,AUS,Australia,0.004700356,Bauxite
22710,AUS,Australia,3.077066398,Nickel and Cobalt
22711,CAN,Canada,0.359466506,Coal
22712,AUS,Australia,2.330934573,Copper
22714,AUS,Australia,0.667740798,Bauxite
22715,AUS,Australia,0.023357108,Coal
